description,amount,quantity,category,predictedCategory
AMBULANCE SERVICE CHARGES,3700.0,1,Ambulance Charges,Ambulance
AMBULANCE,600.0,1,Ambulance Charges,Ambulance
BASIC LIFE SUPPORT (BLS) AMBULANCE,2000.0,1,Ambulance Charges,Ambulance
AMBULANCE CHARGES PER KM.,45.0,1,Ambulance Charges,Ambulance
AMBULANCE MERC(PB-65- 8952)CHI,2000.0,1,Ambulance Charges,Ambulance
AMBULANCE ACLS CHARGES MATHURA,0.0,1,Ambulance Charges,Ambulance
ANAESTHESIA INFLATABLE AIRCUSHION FACE,400.0,1,Anaesthesia,Anaesthesia
ANAESTHESIA CHARGES (GA)( VAGINAL VAULT SUSPENSION (LAPAROSCOPIC))-40.00%,3610.0,1,Anaesthesia,Anaesthesia
ANAESTHESIA CHARGES (GA)( CYSTOSCOPY (DIAGNOSTIC) )-40.00%,1070.0,1,Anaesthesia,Anaesthesia
SPINAL ANESTHESIA,1900.0,1,Anaesthesia,
PG-40 ANA-02 - ANAESTHESIA GA (Dr. PAVAN GURHA (ANAES. TEAM)),2520.0,1,Anaesthesia,Anaesthesia
GENERAL ANAESTHESIA (760428),3500.0,1,Anaesthesia,Anaesthesia
SPINAL ANESTHESIA (762815),2000.0,1,Anaesthesia,
ANAESTHESIA GAS CHARGES,12175.0,1,Anaesthesia,Anaesthesia
Stand By Anaesthesia Charges,2770.0,1,Anaesthesia,Anaesthesia
SPINAL ANESTHESIA (776306),2600.0,1,Anaesthesia,
ANESTHESIA STA NDBY THERAPEUTIC CA TH PROCEDURE,4600.0,1,Anaesthesia,
GENERAL ANAESTHESIA (762164),2600.0,1,Anaesthesia,Anaesthesia
"ANAESTHETIST CHRGE (GA)(Dr, ANU SEHGAL)",5720.0,1,Anaesthesia,
GENERAL ANAESTHESIA (757233),2000.0,1,Anaesthesia,Anaesthesia
ANESTHESIA CHARGES()(),12705.0,1,Anaesthesia,
15:19:00 PROFOL-(PROPOFOL)-20ML-INJECTION-,179.6,1,Anaesthesia,
GENERAL ANAESTHESIA (769615),3500.0,1,Anaesthesia,Anaesthesia
ANESTHESIA CHARGE (99931]),2875.0,1,Anaesthesia,
"ANESTHESIA CHARGES (Dr.Kamini Aggarwal,Dr.Abha Agarwal, Dr. Rajeev Gupta)",4548.0,1,Anaesthesia,
"ANESTHESIA CHARGES (Dr. Kamini Aggarwal,Dr",1114.0,1,Anaesthesia,
"ANESTHESIA CHARGES (Dr. Kamini Aggarwal,Dr.Abha Agarwal,Dr.Rajeev Gupta)",14189.0,1,Anaesthesia,
ANAESTHESIA CHARGES SEDATION ONLY I Dr. ANAESTHESIA TEAM,2200.0,1,Anaesthesia,Anaesthesia
"ANAC000003-Anesthesia charges(Dr Sangeeta Khanna, Anaesthesia)",14245.0,1,Anaesthesia,Anaesthesia
ANAESTHESIA CHARGES Dr. ANASTH TEAM,7815.0,1,Anaesthesia,Anaesthesia
